Garden,Tissue,Age,Genotype,Col,Row,Rep,TNC (mg/g)
Clatskanie,Roots,10,BESC-103,8,50,2,31.28317323
Clatskanie,Roots,10,BESC-107,15,25,1,38.6128472
Clatskanie,Roots,10,BESC-113,14,27,1,23.90491671
Clatskanie,Roots,10,BESC-113,4,42,2,24.7772493
Clatskanie,Roots,10,BESC-118,25,24,1,24.88515032
Clatskanie,Roots,10,BESC-13,29,39,2,22.71271179
Clatskanie,Roots,10,BESC-13,33,35,1,50.14592086
Clatskanie,Roots,10,BESC-133,16,28,1,34.30485168
Clatskanie,Roots,10,BESC-134,10,28,1,32.19171498
Clatskanie,Roots,10,BESC-135,14,33,1,37.49799114
Clatskanie,Roots,10,BESC-14,9,30,1,29.05004141
Clatskanie,Roots,10,BESC-141,6,41,2,54.71610911
Clatskanie,Roots,10,BESC-161,14,45,2,32.18489272
Clatskanie,Roots,10,BESC-169,29,58,2,44.40357842
Clatskanie,Roots,10,BESC-169,7,79,3,35.78251733
Clatskanie,Roots,10,BESC-171,22,28,1,11.9724183
Clatskanie,Roots,10,BESC-173,30,40,2,10.08896999
Clatskanie,Roots,10,BESC-181,21,43,2,47.95477463
Clatskanie,Roots,10,BESC-181,9,28,1,37.46218234
Clatskanie,Roots,10,BESC-184,26,39,2,24.43762968
Clatskanie,Roots,10,BESC-19,4,35,1,34.09658315
Clatskanie,Roots,10,BESC-19,8,40,2,39.58923591
Clatskanie,Roots,10,BESC-191,12,35,1,25.95820173
Clatskanie,Roots,10,BESC-202,32,29,1,49.4276372
Clatskanie,Roots,10,BESC-205,14,38,2,34.59361026
Clatskanie,Roots,10,BESC-208,26,30,1,45.38770513
Clatskanie,Roots,10,BESC-209,34,38,2,25.04037383
Clatskanie,Roots,10,BESC-220,33,30,1,23.1639725
Clatskanie,Roots,10,BESC-228,18,46,2,22.06246377
Clatskanie,Roots,10,BESC-230,15,35,1,19.10478261
Clatskanie,Roots,10,BESC-231,23,37,2,47.57673217
Clatskanie,Roots,10,BESC-239,7,43,2,21.1026133
Clatskanie,Roots,10,BESC-24,10,39,2,29.8735258
Clatskanie,Roots,10,BESC-24,20,31,1,28.12383601
Clatskanie,Roots,10,BESC-243,8,28,1,29.98838505
Clatskanie,Roots,10,BESC-247,17,41,2,35.26430702
Clatskanie,Roots,10,BESC-25,30,38,2,34.59921574
Clatskanie,Roots,10,BESC-259,4,34,1,18.37071994
Clatskanie,Roots,10,BESC-26,5,27,1,31.99831404
Clatskanie,Roots,10,BESC-265,9,35,1,33.13574302
Clatskanie,Roots,10,BESC-269,6,37,2,20.20167421
Clatskanie,Roots,10,BESC-275,6,25,1,24.8022612
Clatskanie,Roots,10,BESC-276,5,40,2,37.22613001
Clatskanie,Roots,10,BESC-291,21,30,1,22.68969314
Clatskanie,Roots,10,BESC-291,35,45,2,12.69108329
Clatskanie,Roots,10,BESC-294,12,42,2,15.55620401
Clatskanie,Roots,10,BESC-297,9,45,2,11.39812792
Clatskanie,Roots,10,BESC-30,12,68,2,23.73871313
Clatskanie,Roots,10,BESC-30,32,27,1,19.5986839
Clatskanie,Roots,10,BESC-307,33,26,1,33.15803185
Clatskanie,Roots,10,BESC-318,33,32,1,13.20659293
Clatskanie,Roots,10,BESC-321,28,29,1,42.56489715
Clatskanie,Roots,10,BESC-322,30,26,1,18.73423491
Clatskanie,Roots,10,BESC-327,19,25,1,11.75140351
Clatskanie,Roots,10,BESC-327,32,37,2,27.23892466
Clatskanie,Roots,10,BESC-332,3,42,2,12.01277538
Clatskanie,Roots,10,BESC-333,10,35,1,16.31458451
Clatskanie,Roots,10,BESC-345,6,31,1,27.51380974
Clatskanie,Roots,10,BESC-350,17,49,2,14.83108982
Clatskanie,Roots,10,BESC-350,35,89,3,24.08823088
Clatskanie,Roots,10,BESC-351,10,27,1,32.58267171
Clatskanie,Roots,10,BESC-354,28,87,3,40.56777871
Clatskanie,Roots,10,BESC-354,9,70,2,34.71604886
Clatskanie,Roots,10,BESC-358,20,29,1,20.26970295
Clatskanie,Roots,10,BESC-36,9,42,2,19.63982719
Clatskanie,Roots,10,BESC-373,33,61,2,29.57051314
Clatskanie,Roots,10,BESC-377,3,43,2,24.76554829
Clatskanie,Roots,10,BESC-377,5,80,3,27.77918092
Clatskanie,Roots,10,BESC-378,3,38,2,15.93956075
Clatskanie,Roots,10,BESC-381,8,44,2,12.43483769
Clatskanie,Roots,10,BESC-388,34,25,1,10.936
Clatskanie,Roots,10,BESC-393,28,79,3,16.67533875
Clatskanie,Roots,10,BESC-393,5,46,2,11.30728395
Clatskanie,Roots,10,BESC-394,26,73,3,5.316111111
Clatskanie,Roots,10,BESC-394,9,41,2,4.349545455
Clatskanie,Roots,10,BESC-40,18,36,2,38.20145549
Clatskanie,Roots,10,BESC-419,32,34,1,22.57352439
Clatskanie,Roots,10,BESC-437,32,42,2,16.87829264
Clatskanie,Roots,10,BESC-438,20,42,2,27.54527074
Clatskanie,Roots,10,BESC-438,3,36,1,14.29607023
Clatskanie,Roots,10,BESC-47,19,33,1,32.89036001
Clatskanie,Roots,10,BESC-52,32,38,2,15.00896674
Clatskanie,Roots,10,BESC-52,35,28,1,7.850399113
Clatskanie,Roots,10,BESC-58,24,24,1,40.43673377
Clatskanie,Roots,10,BESC-66,34,30,1,30.51673218
Clatskanie,Roots,10,BESC-70,10,29,1,48.94893036
Clatskanie,Roots,10,BESC-79,10,46,2,26.40610719
Clatskanie,Roots,10,BESC-806,14,32,1,12.70425726
Clatskanie,Roots,10,BESC-806,15,41,2,13.59560304
Clatskanie,Roots,10,BESC-829,8,42,2,8.497736407
Clatskanie,Roots,10,BESC-834,13,59,2,20.39270484
Clatskanie,Roots,10,BESC-838,28,33,1,24.2127946
Clatskanie,Roots,10,BESC-847,5,28,1,22.11371006
Clatskanie,Roots,10,BESC-847,7,38,2,23.80111099
Clatskanie,Roots,10,BESC-848,13,31,1,25.67476458
Clatskanie,Roots,10,BESC-852,3,33,1,8.845941373
Clatskanie,Roots,10,BESC-855,16,43,2,8.324130094
Clatskanie,Roots,10,BESC-856,17,42,2,15.80387598
Clatskanie,Roots,10,BESC-856,4,96,3,12.41004844
Clatskanie,Roots,10,BESC-857,24,91,3,9.553465909
Clatskanie,Roots,10,BESC-857,30,54,2,8.536491079
Clatskanie,Roots,10,BESC-860,19,28,1,25.6141647
Clatskanie,Roots,10,BESC-860,24,37,2,48.50946533
Clatskanie,Roots,10,BESC-869,3,31,1,21.79697808
Clatskanie,Roots,10,BESC-870,11,35,1,29.00294253
Clatskanie,Roots,10,BESC-874,33,41,2,18.95700443
Clatskanie,Roots,10,BESC-880,12,41,2,29.38174325
Clatskanie,Roots,10,BESC-880,31,35,1,20.47731884
Clatskanie,Roots,10,BESC-881,24,28,1,19.25858837
Clatskanie,Roots,10,BESC-883,31,28,1,24.78167938
Clatskanie,Roots,10,BESC-886,9,43,2,20.91555807
Clatskanie,Roots,10,BESC-898,29,41,2,26.89217009
Clatskanie,Roots,10,BESC-898,9,91,3,6.845186289
Clatskanie,Roots,10,BESC-906,24,38,2,12.26317424
Clatskanie,Roots,10,BLCG-28-1,32,82,3,25.10110248
Clatskanie,Roots,10,BLCG-28-1,9,46,2,14.18382487
Clatskanie,Roots,10,CHWH-27-1,24,25,1,16.07748654
Clatskanie,Roots,10,CHWH-27-1,9,39,2,14.90294804
Clatskanie,Roots,10,CHWH-27-5,7,26,1,11.40781255
Clatskanie,Roots,10,CHWK-27-3,28,37,2,16.30879447
Clatskanie,Roots,10,CMBF-28-1,18,30,1,18.00992602
Clatskanie,Roots,10,CMBF-28-4,12,28,1,22.78076041
Clatskanie,Roots,10,CMBF-28-4,28,69,2,27.40790016
Clatskanie,Roots,10,CNYH-28-2,13,24,1,16.75741345
Clatskanie,Roots,10,CNYH-28-3,15,28,1,18.64835375
Clatskanie,Roots,10,CNYH-28-4,21,49,2,21.33898272
Clatskanie,Roots,10,CNYH-28-4,6,26,1,23.69199083
Clatskanie,Roots,10,DENB-17-1,7,39,2,14.31748819
Clatskanie,Roots,10,DENB-17-3,33,34,1,11.89256998
Clatskanie,Roots,10,DENC-17-2,28,60,2,12.50687878
Clatskanie,Roots,10,DEND-17-1,13,44,2,7.132982897
Clatskanie,Roots,10,DEND-17-4,5,39,2,26.97993771
Clatskanie,Roots,10,FNYI-28-2,3,56,2,19.10232637
Clatskanie,Roots,10,FNYI-28-2,9,89,3,22.77957008
Clatskanie,Roots,10,FNYI-28-3,13,23,1,21.84130525
